"Date","Symbol","Field","Value"
"2018-09-25","AINC","Open","83"
"2018-09-25","AINC","Volume","44900"
"2018-09-25","AIRI","Adjusted","1.46"
"2018-09-25","AIRI","Close","1.46"
"2018-09-25","AIRI","High","1.46"
"2018-09-25","AIRI","Low","1.42"
"2018-09-25","AIRI","OpCl","0.00684931506849318"
"2018-09-25","AIRI","Open","1.45"
"2018-09-25","AIRI","Volume","13300"
"2018-09-25","AKG","Adjusted","0.84"
"2018-09-25","AKG","Close","0.84"
"2018-09-25","AKG","High","0.84"
"2018-09-25","AKG","Low","0.81"
"2018-09-25","AKG","OpCl","0.0119047619047619"
"2018-09-25","AKG","Open","0.83"
"2018-09-25","AKG","Volume","354000"
"2018-09-25","ALO","Adjusted","0.75"
"2018-09-25","ALO","Close","0.75"
"2018-09-25","ALO","High","0.76"
"2018-09-25","ALO","Low","0.73"
"2018-09-25","ALO","OpCl","0.0266666666666667"
"2018-09-25","ALO","Open","0.73"
"2018-09-25","ALO","Volume","124300"
"2018-09-25","AMBO","Adjusted","5.6"
"2018-09-25","AMBO","Close","5.6"
"2018-09-25","AMBO","High","5.7"
"2018-09-25","AMBO","Low","5.4"
"2018-09-25","AMBO","OpCl","-0.017857142857143"
"2018-09-25","AMBO","Open","5.7"
"2018-09-25","AMBO","Volume","14900"
"2018-09-25","AMPE","Adjusted","0.53"
"2018-09-25","AMPE","Close","0.53"
"2018-09-25","AMPE","High","0.55"
"2018-09-25","AMPE","Low","0.5"
"2018-09-25","AMPE","OpCl","0"
"2018-09-25","AMPE","Open","0.53"
"2018-09-25","AMPE","Volume","1982300"
"2018-09-25","AMS","Adjusted","3.05"
"2018-09-25","AMS","Close","3.05"
"2018-09-25","AMS","High","3.1"
"2018-09-25","AMS","Low","3"
"2018-09-25","AMS","OpCl","-0.0163934426229508"
"2018-09-25","AMS","Open","3.1"
"2018-09-25","AMS","Volume","3300"
"2018-09-25","APHB","Adjusted","1.01"
"2018-09-25","APHB","Close","1.01"
"2018-09-25","APHB","High","1.02"
"2018-09-25","APHB","Low","0.95"
"2018-09-25","APHB","OpCl","-0.00990099009900991"
"2018-09-25","APHB","Open","1.02"
"2018-09-25","APHB","Volume","58200"
"2018-09-26","AAMC","Adjusted","56.400002"
"2018-09-26","AAMC","Close","56.400002"
"2018-09-26","AAMC","High","59.150002"
"2018-09-26","AAMC","Low","56.400002"
"2018-09-26","AAMC","OpCl","-0.0487588635191893"
"2018-09-26","AAMC","Open","59.150002"
"2018-09-26","AAMC","Volume","500"
"2018-09-26","AAU","Adjusted","0.65"
"2018-09-26","AAU","Close","0.65"
"2018-09-26","AAU","High","0.65"
"2018-09-26","AAU","Low","0.64"
"2018-09-26","AAU","OpCl","0"
"2018-09-26","AAU","Open","0.65"
"2018-09-26","AAU","Volume","58200"
"2018-09-26","ACU","Adjusted","21.5"
"2018-09-26","ACU","Close","21.5"
"2018-09-26","ACU","High","21.799999"
"2018-09-26","ACU","Low","21.01"
"2018-09-26","ACU","OpCl","0.0032558139534884"
"2018-09-26","ACU","Open","21.43"
"2018-09-26","ACU","Volume","4400"
"2018-09-26","ACY","Adjusted","15.8"
"2018-09-26","ACY","Close","15.8"
"2018-09-26","ACY","High","15.8"
"2018-09-26","ACY","Low","15.8"
"2018-09-26","ACY","OpCl","0"
"2018-09-26","ACY","Open","15.8"
"2018-09-26","ACY","Volume","0"
"2018-09-26","AE","Adjusted","41.169998"
"2018-09-26","AE","Close","41.169998"
"2018-09-26","AE","High","41.990002"
"2018-09-26","AE","Low","40.540001"
"2018-09-26","AE","OpCl","-0.019917513719578"
"2018-09-26","AE","Open","41.990002"
"2018-09-26","AE","Volume","7000"
"2018-09-26","AEF","Adjusted","6.8"
"2018-09-26","AEF","Close","6.8"
"2018-09-26","AEF","High","6.85"
"2018-09-26","AEF","Low","6.71"
"2018-09-26","AEF","OpCl","0.00882352941176467"
"2018-09-26","AEF","Open","6.74"
"2018-09-26","AEF","Volume","122900"
"2018-09-26","AINC","Adjusted","72.150002"
"2018-09-26","AINC","Close","72.150002"
"2018-09-26","AINC","High","76.059998"
"2018-09-26","AINC","Low","72"
"2018-09-26","AINC","OpCl","-0.0325710039481357"
"2018-09-26","AINC","Open","74.5"
"2018-09-26","AINC","Volume","212300"
"2018-09-26","AIRI","Adjusted","1.41"
"2018-09-26","AIRI","Close","1.41"
"2018-09-26","AIRI","High","1.46"
"2018-09-26","AIRI","Low","1.38"
"2018-09-26","AIRI","OpCl","-0.0354609929078014"
"2018-09-26","AIRI","Open","1.46"
"2018-09-26","AIRI","Volume","10700"
"2018-09-26","AKG","Adjusted","0.81"
"2018-09-26","AKG","Close","0.81"
"2018-09-26","AKG","High","0.84"
"2018-09-26","AKG","Low","0.81"
"2018-09-26","AKG","OpCl","-0.037037037037037"
"2018-09-26","AKG","Open","0.84"
"2018-09-26","AKG","Volume","480600"
"2018-09-26","ALO","Adjusted","0.77"
"2018-09-26","ALO","Close","0.77"
"2018-09-26","ALO","High","0.78"
"2018-09-26","ALO","Low","0.74"
"2018-09-26","ALO","OpCl","0.025974025974026"
"2018-09-26","ALO","Open","0.75"
"2018-09-26","ALO","Volume","209100"
"2018-09-26","AMBO","Adjusted","5.41"
"2018-09-26","AMBO","Close","5.41"
"2018-09-26","AMBO","High","5.6"
"2018-09-26","AMBO","Low","5.35"
"2018-09-26","AMBO","OpCl","-0.033271719038817"
"2018-09-26","AMBO","Open","5.59"
"2018-09-26","AMBO","Volume","19700"
"2018-09-26","AMPE","Adjusted","0.53"
"2018-09-26","AMPE","Close","0.53"
"2018-09-26","AMPE","High","0.54"
"2018-09-26","AMPE","Low","0.51"
"2018-09-26","AMPE","OpCl","0"
"2018-09-26","AMPE","Open","0.53"
"2018-09-26","AMPE","Volume","769700"
"2018-09-26","AMS","Adjusted","3.15"
"2018-09-26","AMS","Close","3.15"
"2018-09-26","AMS","High","3.35"
"2018-09-26","AMS","Low","3.1"
"2018-09-26","AMS","OpCl","0"
"2018-09-26","AMS","Open","3.15"
"2018-09-26","AMS","Volume","102000"
"2018-09-26","APHB","Adjusted","0.97"
"2018-09-26","APHB","Close","0.97"
"2018-09-26","APHB","High","1.02"
"2018-09-26","APHB","Low","0.95"
"2018-09-26","APHB","OpCl","-0.0309278350515465"
"2018-09-26","APHB","Open","1"
"2018-09-26","APHB","Volume","96800"
